Area_code,Area_name,ow_obs,hyp_ten,low_bw,alc,smoke,activity,eating,sti_screen,teen_preg,in_eet,pupil_abs,ey_dev,training,ks4_dev,low_pay,pov_child,unempl,wp_safety,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,diff_adls,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,semh_child,self_harm,air_poll,pub_greenspace,priv_greenspace,env_noise,road_safety,road_traff,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E08000023,South Tyneside,71.65582314,15.84,2.895480226,982.55,18.8,60.2690421,54.87273248,647.0241089,20.05347594,3.9,11.50908,72.78708134,14.7,61.8,34.5,21.7,6.5,280,107.74,308.4,8.3,3.136107046,0.95,27.8,40.48,5.94,588.46,3.45,7.59,7.62,7.89,7.36,3.12,12.75,19.55,315.93,7.0342,386.8419567,96.5,6.427574351,381.81,0.007890564,0.665490966,4.86,0.63,0.63,0.44,84.51735268,59.10595082,0.695,5.115,2.268,31.51438857,96,69.64426975,94.79502793
E08000024,Sunderland,69.2305001,17.29,3.821656051,992.9,20.2,60.1098706,54.47814548,664.8808594,28.96039604,4.9,12.63094,71.1461126,19.9,57.1,20.3,19.6,6.1,256,106.35,290.3,11.1,2.775529085,0.86,28.2,40.03,4.82,638.52,3.32,7.55,7.62,7.88,7.48,3.21,12.36,15.48,181.1,7.0966,637.1657349,94,3.369265695,341.3,0.008548599,1.80234088,4.36,0.66,0.66,0.42,93.95603009,57.1827534,0.81,4.865,2.288,33.19518249,61,71.94458397,93.23846581
E08000025,Birmingham,65.06403375,12.09,4.043632321,706.06,16.2,61.00610648,49.41689652,995.0102539,19.16686732,2.7,12.9846,67.69259351,16,59.4,21.2,26.8,7.3,212,66.72,288.1,8.149255477,7.405772087,0.59,19,33.39,3.88,582.83,2.11,8.74,7.69,7.72,7.56,2.72,9.99,16.69,184.15,10.1921,527.2157765,85.9,5.223528835,635.12,0.015369348,7.972846762,6.63,0.53,0.53,0.47,87.79768945,59.40194187,0.63,3.78,1.322,31.90468813,50,63.04606043,84.87316312
E08000026,Coventry,64.80846709,12.55,2.923673997,872.25,15.9,60.5757577,57.55045948,859.281189,21.18030413,3.4,11.84816,67.7455608,18.6,60,20.9,17.6,4.6,200,84.04,274.8,8.632879255,4.972125961,0.59,21.8,32.59,4.3,582.73,2.26,6.72,7.47,7.69,7.34,3,9.9,16,219.88,10.2623,664.067802,85.2,11.4344916,460.01,0.013399377,6.815982115,6.98,0.48,0.48,0.39,70.32730346,62.19548264,0.66,3.53,1.266,30.52900443,53,67.01923093,86.74698068
E08000027,Dudley,64.71176469,17.69,3.777033201,621.76,13,56.55750047,51.88660618,428.95578,19.32457786,2.7,12.30617,66.64175386,9.2,60,26.7,19,5.4,302,95.91,248.4,9.730167584,4.415209948,0.88,21.5,35.79,6.64,628.98,3.44,8.02,7.51,7.67,7.31,2.83,12.8,16.7,189.64,9.6128,622.002359,92.9,4.164050913,369.07,0.01189381,1.559449327,6.12,0.61,0.61,0.4,67.19667151,59.85887857,0.69,4.56,2.068,32.16472646,32,69.13482837,93.71449785
E08000028,Sandwell,70.961881,15.49,3.767622752,641,16.7,59.51185648,50.14159858,805.0446167,26.38015374,2.2,11.23332,66.35308247,9.4,50.6,29.1,25.1,6,462,92.38,309.5,10.55840744,8.234283259,0.65,20.5,36.73,4.09,646.3,2.2,9.49,7.54,7.74,7.3,2.47,9.21,14.96,176.4,10.6441,462.2501402,91.7,2.990893054,421.84,0.016984142,4.276402202,6.35,0.54,0.54,0.45,82.15885001,57.50329405,0.74,4.195,1.698,33.25308905,41,64.39145388,87.9142301
E08000029,Solihull,53.8339578,15.2,3.303303303,787.7,11.4,67.2944126,56.82396538,667.5577393,17.09641256,2.8,11.05673,72.74021352,20.2,67.5,21.1,10.7,4.2,299,88.41,203.8,12.19143038,5.43877701,0.83,20,32.31,4.18,527.25,3.45,7.54,7.8,7.92,7.66,2.57,10.06,15.49,213.53,9.566,1175.345755,89.7,2.738656509,157.44,0.009156214,1.861252902,8.84,0.68,0.68,0.52,68.49410681,64.7867409,0.595,4.09,1.778,24.12866498,37,70.88503759,90.48764814
E08000030,Walsall,67.1807918,15.38,4.162895928,688.16,15.6,63.20856761,46.39549957,723.6598511,30.09166999,1.7,11.93442,68.07902262,15.3,56.9,30,23.1,5.2,396,94.63,286,8.185830911,7.13593516,0.76,22.3,35.77,5,631.98,2.56,9.15,7.53,7.77,7.3,3.14,11.73,12.96,182.19,10.2039,716.5068641,90.5,9.744791191,467.57,0.009996961,3.881740996,6.23,0.59,0.59,0.52,77.21841498,56.04413575,0.965,4.43,1.918,32.49940118,33,68.0486589,91.07263144
E08000031,Wolverhampton,66.20427219,14.44,3.348653972,875.6,16.7,52.07521025,45.0299647,956.2314453,27.69818529,2.8,11.30117,68.72770511,10,57.3,24.8,23.2,6.9,245,107.84,306.1,9.048837211,5.996711481,0.77,21,34.22,3.99,622.96,2.54,8.45,7.4,7.49,7.34,2.42,10.65,16.8,224.69,9.3993,697.9573284,89.2,2.290006412,575.24,0.012067353,7.251686971,6.01,0.58,0.58,0.45,86.27980825,58.3476516,0.85,3.89,1.624,35.2414668,68,64.48942995,89.32225187
E08000032,Bradford,61.47832406,13.47,4.159783751,805.34,18.5,61.87256244,47.37248957,523.1987915,18.42326756,3.6,13.56469,66.81398674,9.3,56.2,24.4,30.4,5.1,256,69.63,285.3,8.8,5.742339894,0.76,20.4,34.54,3.44,538.71,2.46,8.89,7.67,7.87,7.5,2.99,11.56,16.24,266.19,8.4106,750.5810593,87.3,4.43991042,527.98,0.005039728,4.467834385,4.74,0.55,0.55,0.42,119.0994335,60.04928394,0.8,4.435,1.632,30.80289709,63,66.95337616,91.39134559
E08000033,Calderdale,69.89753388,14.11,3.136882129,682.13,15.5,68.43698609,52.70937094,680.4469604,16.68104688,2.7,9.94956,69.96996997,18,68.1,22.5,20.3,4.1,253,64.33,262.2,12.5,4.749266657,0.77,21.7,34.45,3.83,546.45,3.17,6.74,7.59,7.84,7.53,2.98,14.19,14.61,175.84,7.8306,807.4654747,85.1,5.295536441,296.17,0.002912998,2.380023039,4.57,0.76,0.76,0.44,103.0597576,62.8106587,0.73,4.63,1.886,30.37080709,55,71.76122039,91.33563578
E08000034,Kirklees,61.31840909,13.85,3.400755723,632.93,15.1,57.1210544,52.32769535,693.4827881,14.73080433,2.7,10.93555,69.37187326,17.2,63.2,28.3,22.8,4.9,271,67.52,257.5,10.3,5.262820101,0.73,26.7,34.12,3.89,460.78,2.73,7.62,7.57,7.8,7.55,2.79,12,12.59,164.48,8.057,920.3121653,88.2,8.570249836,356.76,0.004651674,2.963118295,5.18,0.69,0.69,0.43,87.93623369,60.5,0.74,4.46,1.732,27.98406535,36,70.35219717,92.39274327
E08000035,Leeds,61.6734794,12.64,3.621730382,648.97,18.2,68.15891131,54.42183022,819.31427,23.80125087,2.2,11.54655,65.69372251,16.4,61.8,21.6,19.8,3.9,204,76.44,269,10.9,3.9503386,0.72,19.1,31.37,3.1,558.87,2.61,6.28,7.76,7.93,7.45,2.94,10.14,13.72,226.95,8.9153,816.3995288,85.3,6.88706947,331.29,0.008469492,4.181481359,6.3,0.65,0.65,0.39,114.953991,63.16794565,0.665,3.94,1.552,28.30952538,42,70.17181047,90.78060061
E08000036,Wakefield,68.86269413,15.58,2.473596442,882.06,19.3,60.71321219,53.25997357,451.3220215,20.50113895,3.9,15.14427,68.99004267,21.6,61.5,26.4,17.1,4.9,430,78.45,270.1,10.9,3.562551781,0.74,24,36.73,5.2,452.83,3.08,7.67,7.51,7.78,7.4,2.93,11.83,14.13,210.67,8.2056,721.4147896,90.5,7.147038877,302.46,0.006024289,2.608408349,5.65,0.81,0.81,0.44,102.4061118,58.0406335,0.645,4.855,1.966,29.7080432,65,70.54848673,94.07886997
E08000037,Gateshead,68.3350924,16.25,3.181568843,1045.06,17.8,64.49709998,50.82830854,634.4494629,16.92708333,4.9,10.93611,70.06369427,15.5,64.3,29.8,17.2,4.7,268,98.79,303,8.7,3.937007874,0.98,24.1,36.85,5.91,607.77,3.31,7.18,7.6,7.74,7.45,3.09,12.08,14.99,296.21,6.9041,480.8541921,91.4,5.110909199,309.69,0.008188223,4.93807652,4.96,0.68,0.68,0.44,83.99174354,59.22711448,1.205,4.955,2.084,29.64979808,74,71.86620749,90.13044988
E09000002,Barking and Dagenham,64.42348744,11.62,3.201449713,502.68,22.4,55.82845893,43.88968863,975.5528564,20.2651989,3,10.70835,71.29909366,12.5,60,26,21.2,5.9,337,64.88,272.9,5.14272149,3.465303647,0.38,16.9,28.94,2.39,693.66,1.67,8.65,7.52,7.88,7.67,2.82,7.29,13.94,77.46,13.0378,329.8787663,84.5,23.75585118,1180.28,0.013726848,4.245323069,12.16,0.45,0.45,0.42,76.33562581,61.31149067,0.605,3.15,0.892,35.07238268,28,62.22385246,81.79625575
E09000003,Barnet,56.38125686,11.5,2.790796762,496.98,10.9,66.49410433,58.11433326,1084.570801,8.206875194,1.2,8.30332,74.00181488,17.9,76,36.2,10.8,4.7,197,36.61,155.2,6.878131294,2.243302141,0.71,19.2,27.73,3.37,459.69,2.59,6.59,7.55,7.68,7.44,3.19,7.25,13.37,98.78,11.7292,391.1769653,80,5.118070077,786.43,0.014570104,6.120263171,15.37,0.53,0.53,0.38,66.97352986,64.25402101,0.825,2.69,1.2,26.57584648,19,63.16835589,80.63807809
E09000004,Bexley,63.78716842,13.49,2.643969576,566.53,12.2,72.35392465,55.78440001,707.1957397,13.89215917,1.8,10.0938,77.07270408,19.9,69.1,35.1,12.6,4,336,42.4,205.1,8.151408544,3.255208333,0.78,17.9,29.61,2.84,571.61,2.68,6.95,7.54,7.83,7.55,3.21,7.21,13.64,88.15,11.8266,574.1569605,88.5,4.475211139,637.13,0.0126182,2.022179262,11.86,0.54,0.54,0.37,57.19531825,64.98330084,0.55,3.26,1.39,29.98190555,25,71.15507517,87.68813545
E09000005,Brent,56.37700126,12.21,3.880317906,646.1,17.1,59.80597389,55.47834732,1936.258301,11.93361924,1.4,10.2412,69.78972585,10.8,69.5,37.1,14.8,5.3,248,41,206.1,7.320712717,3.65230095,0.51,15.1,28.57,2.53,363.21,1.74,8.82,7.71,7.84,7.84,2.4,6.38,12.89,55.2,12.1293,430.5139261,81.8,5.385793563,1415.89,0.015176595,9.069060899,17.53,0.43,0.43,0.4,80.11003794,66.40059191,0.55,2.615,1.002,35.92310576,25,61.12589736,81.36729522
E09000006,Bromley,53.50237959,13.32,1.88628402,502.1,13.9,65.67637915,56.67834449,708.3452759,13.6652939,1.6,9.25917,77.16262976,25.1,70,34,9.6,4.2,263,41.87,174.4,6.429533145,2.466385552,0.89,20.8,26.4,3.37,540.88,2.98,5.72,7.57,7.65,7.47,2.88,9.76,14.48,81.62,10.9553,488.6958734,85.4,8.637978109,802.16,0.006144561,1.81216324,11.66,0.64,0.64,0.44,62.55285476,66.31892805,0.665,3.305,1.466,23.96707366,27,70.96888751,89.61721615
E09000007,Camden,46.4680637,9.62,3.510273973,544.12,10.9,71.65152164,53.77192054,1937.703735,11.76778243,2.5,12.01019,71.36803874,18,66,12.9,11.9,4.5,210,40.47,196.6,10.40035514,2.799694579,0.52,18.1,28.32,2.02,410.38,2.01,4.09,7.48,7.63,7.38,3.3,8.59,15.26,71.12,12.5071,338.6863336,61,14.59976416,3060.63,0.013660318,53.77041178,18.75,0.27,0.27,0.26,125.1782813,65.23354282,0.455,2.6,0.888,28.63508632,19,57.0085599,77.6554048
E09000008,Croydon,62.71085954,12.4,3.515151515,493.74,11.4,66.3195652,49.69539542,1446.921143,19.06158358,2.2,10.86367,73.75,17.1,63.1,28.5,14.3,5,193,82.62,212.2,9.394896099,3.922716628,0.6,18.9,28.45,2.92,486.46,2.33,7.14,7.69,7.81,7.78,2.93,7.57,14.99,97.58,11.6597,472.9632886,83.3,9.537874197,986.17,0.010445709,3.892605606,11.47,0.53,0.53,0.37,69.85410514,62.17169894,0.56,3.05,1.11,29.90448416,23,66.71824434,79.62638025
E09000009,Ealing,61.93960324,12.47,3.306169965,761.26,9.2,65.47696958,57.99625014,1422.410156,10.57158215,1.2,9.18004,72.00820606,14.7,69.2,30.2,14.4,5.5,373,41.89,218.3,8.87479796,2.119486025,0.42,14.7,27.85,2.63,485.92,1.79,8.59,7.53,7.97,7.61,3.4,5.85,13.9,105.3,12.1337,363.9655234,82.8,2.696481358,1076.87,0.015782189,9.649630682,15.57,0.45,0.45,0.4,74.95131323,63.55174571,0.5,3.035,1.094,29.73594008,20,62.73326559,81.93065501
E09000010,Enfield,56.7415701,13.22,3.168930188,567.1,13.7,62.99258846,58.70383059,1240.453247,19.10720325,1.3,11.96842,69.28796755,20.8,61.3,40.9,14.3,5.3,319,39.54,196.8,6.186543537,2.975778547,0.62,21.3,30.4,2.87,416.12,2.51,8.14,7.37,7.68,7.35,2.96,8.47,13.17,72.16,12.1101,440.0419431,84.1,9.024497632,711.4,0.015494703,23.36245653,13.36,0.56,0.56,0.37,76.60489593,63.84893536,0.635,2.945,1.16,33.0167345,14,66.95868972,79.13729743
E09000011,Greenwich,58.68491513,12.15,2.763429752,565.71,18.1,66.00212617,51.45499233,1590.081665,18.17752597,2,10.97116,77.66442953,23.9,58,26.4,16.4,5.4,348,72.08,243.6,7.75430377,5.036836566,0.42,21.4,28.81,2.44,522.15,1.81,6.75,7.54,7.81,7.36,2.98,6.83,15.33,67.77,12.3659,383.2464833,80.1,9.083014326,914.68,0.016491411,2.445961717,12.98,0.44,0.44,0.4,81.59728289,61.84524924,0.44,3.09,1.002,33.02880727,29,64.894256,86.20821678
E09000012,Hackney,49.20660481,8.99,3.105288695,539.13,14.8,69.94540303,53.2635497,3145.884033,16.31433824,2.2,9.71095,70.11340894,14.7,67.3,22.3,16.4,6,213,60.81,256.6,9.626307773,3.971227334,0.31,18.8,28.05,1.98,418.05,1.57,5.92,7.5,7.68,7.38,3.04,10.21,16.89,73.82,12.8978,266.2548835,68.6,20.43362408,2584.35,0.017347248,8.224125293,16.34,0.34,0.34,0.37,101.6895214,60.30642519,0.355,2.755,0.816,32.40366182,22,61.84438655,71.46568098
E09000013,Hammersmith and Fulham,48.98081738,7.87,3.278688525,666.7,12.1,68.24926852,57.5888673,2503.260254,14.92537313,1.1,11.98837,74.45972495,17.1,70.5,12.4,10.7,5.5,393,64.02,239.2,11.74213627,3.187803188,0.33,14.7,23.47,1.46,434.32,1.68,3.89,7.72,7.83,7.6,3.45,6.53,14.75,60.68,12.6614,309.1817931,81,81.07816595,1940.87,0.02218338,6.471584352,18.03,0.34,0.34,0.32,105.7402953,63.14576812,0.465,2.52,0.768,29.92059305,20,56.97803183,78.37740566
E09000014,Haringey,52.72075853,10.51,2.951490357,617.47,17.7,67.43105793,59.71482659,2169.221191,15.18929948,1.5,10.58211,75.59602649,13.8,61.8,28.2,15,5.3,363,70.76,210.5,7.997738372,2.808271636,0.43,14.5,29.43,2.02,351.12,2.03,6.44,7.35,7.72,7.26,3.07,7.79,15.2,70.91,12.5419,318.6840307,84.1,29.47819128,2140.14,0.013513423,11.82452406,17.14,0.4,0.4,0.38,103.0618127,65.79460137,0.555,2.675,0.878,29.98178003,15,62.98772898,77.87219646
E09000015,Harrow,52.88865481,13.52,3.509307293,615.12,10.8,59.80367946,54.10665038,833.6483765,6.105006105,1.2,8.28803,74.17666974,10.5,68.9,38.9,12.9,3.6,194,27.5,153,6.385933875,5.145639989,0.68,15.6,25.75,2.98,457.35,2.43,9.92,7.65,7.72,7.61,2.34,6.65,12.5,80.25,11.2865,663.2959434,85.2,2.654889251,750.17,0.010936189,5.196902646,15.49,0.5,0.5,0.39,55.34701318,68.1501637,0.735,3.12,1.34,26.55032485,20,63.99300585,83.66890363
E09000016,Havering,71.17895852,13.88,3.559547572,455.75,15,65.78659095,44.70255044,697.0615234,16.68653159,2.1,11.2228,71.45443573,15.2,67.7,32.7,13.4,4.7,242,44.11,218.6,7.809508716,2.37037037,0.86,17.8,30.01,2.97,567.15,3.16,7.19,7.68,7.91,7.4,3.03,9.17,9.28,74.68,11.4503,477.7758032,89.7,3.576277103,502.83,0.010178242,0.775765098,12.23,0.62,0.62,0.5,64.76474923,65.08314805,0.695,3.32,1.472,30.82338988,25,70.8820677,87.58653473
E09000017,Hillingdon,62.43073772,12.48,3.171905976,645.49,17.1,60.55218709,56.97800033,884.0136108,14.76537217,2.7,11.24483,73.61587457,26,66.7,29,13.3,4.4,350,39.86,210.9,9.73945221,2.540220152,0.63,16.7,27.57,2.45,533.14,2.04,7.66,7.76,7.79,7.67,3.07,8.26,14.09,76.42,11.3836,603.7063805,87.7,5.321542856,453.43,0.013857569,22.96407107,13.8,0.55,0.55,0.4,73.40957405,63.46195969,0.61,3.175,1.2,29.14201971,20,65.90489276,84.30269432
E09000018,Hounslow,60.44472394,11.69,3.335186215,706.87,13.9,62.9971629,47.4894058,937.7683105,11.77047572,1.7,9.58445,71.69179229,14.9,68.7,27.3,15.1,4.9,270,38.79,220.4,10.41370866,4.091784339,0.47,18.3,27.42,2.32,473.18,1.81,8.29,7.85,7.99,7.73,3.14,6.41,17.11,113.02,11.9127,421.9224901,81.4,16.1338323,731.64,0.019167061,6.647413787,13.5,0.49,0.49,0.38,82.29498268,62.60710535,0.45,2.77,1.046,29.33040689,32,62.41273157,82.74661207
E09000019,Islington,49.09881384,8.99,2.948021722,692.2,15.6,75.86617376,55.48816447,2371.897705,12.94820717,1.7,12.43498,71.0604559,17,64,13.3,14,5.1,178,81.85,261.3,10.10811341,2.763703363,0.46,12,28.01,1.69,550.22,1.87,4.99,7.51,7.59,7.3,3.23,9.77,18.71,93.31,12.9434,239.1040523,70.7,37.35581228,2806.71,0.018442202,17.98094856,15.32,0.31,0.31,0.27,106.8737403,62.15246506,0.4,3.24,0.842,29.89559222,18,60.5737001,79.57848705
E09000020,Kensington and Chelsea,49.96992875,9.01,1.962110961,476.14,14.9,72.78925881,56.31755756,2284.875977,5.178663905,3.2,10.77238,70.11278195,15.3,73.7,21.2,6.4,6,264,30.55,167.2,9.746384173,3.356367226,0.5,19,27.83,1.52,427.2,2.28,4.39,7.23,7.46,7.38,3.69,8.57,12.12,63.86,12.9743,355.7382178,81.7,55.88619018,1922.84,0.029298033,12.80434323,29.28,0.28,0.28,0.26,124.2085315,65.19425469,0.315,2.32,0.954,28.63343185,24,51.83114934,73.70718312
E09000021,Kingston upon Thames,51.01126395,10.31,1.666666667,498.72,11.2,67.10764666,60.86790122,1003.230713,7.903650734,1.4,8.0579,76.84952189,14.4,79.2,27.4,8.3,4.9,190,32.89,174.5,9.970746801,5.61272217,0.53,15.3,27.5,2.35,524.2,2.38,5.16,7.78,7.95,7.59,2.81,8.13,11.24,113.96,11.5436,699.9944573,86.5,7.857701677,506.68,0.017479401,13.10765373,13.6,0.47,0.47,0.37,63.45814099,67.44486579,0.57,2.865,1.056,20.14614522,22,66.35307748,85.04785359
E09000022,Lambeth,53.15198789,9.64,3.026967529,603.22,12.4,72.36292076,53.58567565,3808.657227,21.62790698,2.2,10.92727,72.20843672,22.2,59.6,21.4,14.9,6.3,255,65.46,264,7.180064507,4.761520458,0.4,15.9,24.47,2.07,462.29,1.7,5.74,7.22,7.6,7.26,3.67,8.39,17.56,90.02,12.7253,309.5964604,75.1,24.5016288,2422.34,0.019817283,15.34132923,14.72,0.35,0.35,0.34,92.54196621,61.84424317,0.39,2.76,0.736,31.68295588,39,61.95140554,81.03698806
E09000023,Lewisham,55.60403288,11.31,2.552986513,546.57,16.7,71.62517108,54.73929399,1976.517578,21.16522531,1.9,9.86088,77.90262172,21.5,60.6,22.8,15.5,4.8,322,70.6,252.9,7.945359684,2.862049227,0.48,16.5,26.92,1.84,510.99,1.89,6.36,7.49,7.81,7.55,3.37,8.82,16.02,113.7,12.3577,303.4404928,81.8,15.28520797,1430.15,0.016630795,1.647251067,13.18,0.42,0.42,0.42,76.14912234,62.67592081,0.44,3.32,0.916,27.71797652,30,64.44327377,84.91064087
E09000024,Merton,58.41069704,10.53,2.624955052,559.3,10.9,68.32996303,56.92353607,1265.112305,11.82197497,1.6,8.57609,73.52703793,22.7,68.2,35.4,13.1,4.3,274,32.76,193.8,9.705130866,3.073336159,0.58,13.9,27.94,2.5,544.89,2.15,6.27,7.84,8.03,7.57,3.13,7.96,15.85,92.86,12.2926,389.4062765,88,9.99811815,1146.54,0.011544248,11.15497657,14.27,0.47,0.47,0.36,59.69367464,63.6294923,0.48,2.79,1.002,27.21521154,17,64.87764509,83.25801358
E09000025,Newham,62.970718,10.44,3.74501992,545.16,18.2,53.11763328,41.97956505,1363.165894,13.21291186,1.8,10.08016,75.79814624,11.6,65.4,34.1,20.8,5.6,370,46.99,234.2,7.198246009,3.282213797,0.27,14.8,28.2,3.2,350.4,1.07,8.67,7.54,7.73,7.54,3.16,5.72,11.84,72.75,13.4912,337.6552468,82.1,17.85718569,1281.28,0.018432851,22.44286303,15.67,0.38,0.38,0.33,88.91919149,59.81017599,0.345,2.69,0.766,33.01274836,24,60.95961608,80.09106841
